measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,573,Wyoming,3,Both,22,All Ages,689,Road injuries,1,Number,2016,109.02744476479589,116.17716057267292,101.87595442450578
1,Deaths,573,Wyoming,3,Both,22,All Ages,689,Road injuries,2,Percent,2016,0.02276932453823258,0.023963108580468243,0.021542942425874657
1,Deaths,573,Wyoming,3,Both,22,All Ages,689,Road injuries,3,Rate,2016,18.25014088359567,19.44693423276494,17.05305049484513
1,Deaths,526,Arkansas,3,Both,22,All Ages,689,Road injuries,1,Number,2016,629.4909073022649,662.5529404585909,596.6513668559076
1,Deaths,526,Arkansas,3,Both,22,All Ages,689,Road injuries,2,Percent,2016,0.019546495407031687,0.020451900120502433,0.018583413111753735
1,Deaths,526,Arkansas,3,Both,22,All Ages,689,Road injuries,3,Rate,2016,20.84783909400017,21.942806375287063,19.760240453249942
1,Deaths,102,United States of America,3,Both,22,All Ages,689,Road injuries,1,Number,2016,42360.018383030874,43338.89791145874,40619.57334355305
1,Deaths,102,United States of America,3,Both,22,All Ages,689,Road injuries,2,Percent,2016,0.015318684249477136,0.015662155877662447,0.014689724475892832
1,Deaths,102,United States of America,3,Both,22,All Ages,689,Road injuries,3,Rate,2016,13.127934039851892,13.431301846871305,12.588546934972697
1,Deaths,523,Alabama,3,Both,22,All Ages,689,Road injuries,1,Number,2017,1119.491172973257,1241.4298119798136,1005.3899297806626
1,Deaths,523,Alabama,3,Both,22,All Ages,689,Road injuries,2,Percent,2017,0.021053002880171087,0.022235905235654777,0.01975739763110899
1,Deaths,523,Alabama,3,Both,22,All Ages,689,Road injuries,3,Rate,2017,22.65579912782663,25.12354284742726,20.346665381697054
1,Deaths,571,West Virginia,3,Both,22,All Ages,689,Road injuries,1,Number,2017,338.3983667278066,376.9940499840166,299.3092930198689
1,Deaths,571,West Virginia,3,Both,22,All Ages,689,Road injuries,2,Percent,2017,0.014280085328538333,0.015190075186374313,0.01320395274202003
1,Deaths,571,West Virginia,3,Both,22,All Ages,689,Road injuries,3,Rate,2017,18.14121075692782,20.210288190808342,16.045683135781893
1,Deaths,555,New York,3,Both,22,All Ages,689,Road injuries,1,Number,2017,1519.3406354632955,1680.5178946805008,1361.1168271438116
1,Deaths,555,New York,3,Both,22,All Ages,689,Road injuries,2,Percent,2017,0.009530347931864587,0.01007966966590297,0.008929717231112359
