measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,525,Arizona,1,Male,8,15 to 19,689,Road injuries,1,Number,2017,42.36475858679065,52.08382246568016,32.79675577501253
1,Deaths,525,Arizona,2,Female,8,15 to 19,689,Road injuries,1,Number,2017,23.138822271802102,27.451674098160126,18.55038032180718
1,Deaths,525,Arizona,3,Both,8,15 to 19,689,Road injuries,1,Number,2017,65.50358085859285,76.81702473693021,53.824306892177425
1,Deaths,525,Arizona,1,Male,8,15 to 19,689,Road injuries,3,Rate,2017,16.712293794934336,20.54632605131978,12.93785297772523
1,Deaths,525,Arizona,2,Female,8,15 to 19,689,Road injuries,3,Rate,2017,9.575578307645808,11.360373138923466,7.67673554520294
1,Deaths,525,Arizona,3,Both,8,15 to 19,689,Road injuries,3,Rate,2017,13.22933971707455,15.514243694456882,10.870551374128189
1,Deaths,525,Arizona,1,Male,9,20 to 24,689,Road injuries,1,Number,2017,69.60251503660113,87.7863850535206,53.05695348096046
1,Deaths,525,Arizona,2,Female,9,20 to 24,689,Road injuries,1,Number,2017,21.54317859283566,27.254643457864063,16.414046065021413
1,Deaths,525,Arizona,3,Both,9,20 to 24,689,Road injuries,1,Number,2017,91.14569362943682,111.49299262815506,73.07149398034252
1,Deaths,525,Arizona,1,Male,9,20 to 24,689,Road injuries,3,Rate,2017,27.377272952425272,34.52966927780006,20.869284633012864
1,Deaths,525,Arizona,2,Female,9,20 to 24,689,Road injuries,3,Rate,2017,8.989338621341693,11.37256593732885,6.849101565441592
1,Deaths,525,Arizona,3,Both,9,20 to 24,689,Road injuries,3,Rate,2017,18.454759365015278,22.574586553736008,14.79517884116318
1,Deaths,525,Arizona,1,Male,22,All Ages,689,Road injuries,1,Number,2017,696.666025924083,800.9943865397622,596.5142587055337
1,Deaths,525,Arizona,2,Female,22,All Ages,689,Road injuries,1,Number,2017,303.1357303084666,347.9036310159198,266.411103515451
1,Deaths,525,Arizona,3,Both,22,All Ages,689,Road injuries,1,Number,2017,999.8017562325496,1112.2072414824272,891.7339211880978
1,Deaths,525,Arizona,1,Male,22,All Ages,689,Road injuries,3,Rate,2017,19.87576448970154,22.852235062446073,17.018451423770294
1,Deaths,525,Arizona,2,Female,22,All Ages,689,Road injuries,3,Rate,2017,8.454639158980367,9.70324303026081,7.430367069816816
1,Deaths,525,Arizona,3,Both,22,All Ages,689,Road injuries,3,Rate,2017,14.10050293410198,15.68579108217204,12.576389963078272
1,Deaths,525,Arizona,1,Male,41,50 to 74 years,689,Road injuries,1,Number,2017,247.16587634165424,293.3823006568113,206.11868084461247
1,Deaths,525,Arizona,2,Female,41,50 to 74 years,689,Road injuries,1,Number,2017,99.59297105213082,116.26807040446663,85.05968829939745
1,Deaths,525,Arizona,3,Both,41,50 to 74 years,689,Road injuries,1,Number,2017,346.7588473937854,398.98679036777014,302.78397936225
1,Deaths,525,Arizona,1,Male,41,50 to 74 years,689,Road injuries,3,Rate,2017,26.009416170064185,30.87279873604427,21.689994710684417
1,Deaths,525,Arizona,2,Female,41,50 to 74 years,689,Road injuries,3,Rate,2017,9.642465273451652,11.256927265474081,8.235371250931413
1,Deaths,525,Arizona,3,Both,41,50 to 74 years,689,Road injuries,3,Rate,2017,17.48523980590929,20.11882252292766,15.26781660605819
1,Deaths,525,Arizona,1,Male,206,25 to 49,689,Road injuries,1,Number,2017,244.17745617144996,285.26112731819484,201.9034755325273
1,Deaths,525,Arizona,2,Female,206,25 to 49,689,Road injuries,1,Number,2017,97.58749160729145,115.40844479798905,81.06057199769936
1,Deaths,525,Arizona,3,Both,206,25 to 49,689,Road injuries,1,Number,2017,341.76494777874086,388.732585875737,296.978996621757
1,Deaths,525,Arizona,1,Male,206,25 to 49,689,Road injuries,3,Rate,2017,21.496691582440704,25.11358161628509,17.77501007258457
1,Deaths,525,Arizona,2,Female,206,25 to 49,689,Road injuries,3,Rate,2017,8.618541566578395,10.192417719150791,7.158949345518305
1,Deaths,525,Arizona,3,Both,206,25 to 49,689,Road injuries,3,Rate,2017,15.067799158399836,17.138517476324306,13.093267476501826
1,Deaths,525,Arizona,1,Male,234,75 plus,689,Road injuries,1,Number,2017,69.6522120412634,81.72493885952339,58.554141411131
1,Deaths,525,Arizona,2,Female,234,75 plus,689,Road injuries,1,Number,2017,43.541484445656835,52.23319687903353,35.45461313983944
1,Deaths,525,Arizona,3,Both,234,75 plus,689,Road injuries,1,Number,2017,113.19369648692029,129.6987349123718,97.0179571322962
1,Deaths,525,Arizona,1,Male,234,75 plus,689,Road injuries,3,Rate,2017,32.93023190046091,38.63798592786637,27.68327665255803
1,Deaths,525,Arizona,2,Female,234,75 plus,689,Road injuries,3,Rate,2017,16.34348829348844,19.605960903547302,13.308045469242748
1,Deaths,525,Arizona,3,Both,234,75 plus,689,Road injuries,3,Rate,2017,23.684189340599346,27.13763654900844,20.299643332391465
1,Deaths,573,Wyoming,1,Male,8,15 to 19,689,Road injuries,1,Number,2016,5.391269354059187,6.589588168250147,4.322908679216082
1,Deaths,573,Wyoming,2,Female,8,15 to 19,689,Road injuries,1,Number,2016,2.9512915028568703,3.314864360332495,2.529362704315942
